predicate,subject,subject_type,object,object_type
临床症状,鼻出血,疾病,鼻粘膜溃疡,症状
临床症状,鼻出血,疾病,动脉出血,症状
临床症状,鼻出血,疾病,休克,症状
临床症状,鼻出血,疾病,鼻孔干疼,症状
临床症状,鼻出血,疾病,咳巧克力色痰,症状
临床症状,鼻出血,疾病,贫血,症状
临床症状,鼻出血,疾病,鼻腔前部出血,症状
临床症状,鼻出血,疾病,挖鼻孔,症状
临床症状,鼻出血,疾病,鼻出血,症状
治疗操作,鼻出血,疾病,药物治疗,操作
治疗操作,鼻出血,疾病,康复治疗,操作
相关人群,鼻出血,疾病,好发于儿童时期,人群
治疗药物,鼻出血,疾病,生三七散,药品
治疗药物,鼻出血,疾病,三七片,药品
诊断检查,鼻出血,疾病,后鼻镜检查,观测操作
诊断检查,鼻出血,疾病,血常规,观测操作
诊断检查,鼻出血,疾病,前鼻镜检查,观测操作
诊断检查,鼻出血,疾病,出血时间,观测操作
诊断检查,鼻出血,疾病,毛细血管脆性试验,观测操作
推荐饮食,鼻出血,疾病,鸡蛋,饮食
推荐饮食,鼻出血,疾病,鸭翅,饮食
推荐饮食,鼻出血,疾病,栗子（鲜）,饮食
推荐饮食,鼻出血,疾病,葵花子仁,饮食
禁忌饮食,鼻出血,疾病,鸭血(白鸭),饮食
禁忌饮食,鼻出血,疾病,花生,饮食
禁忌饮食,鼻出血,疾病,赤小豆,饮食
禁忌饮食,鼻出血,疾病,白扁豆,饮食
推荐饮食,鼻出血,疾病,蘑菇炖鸡,饮食
推荐饮食,鼻出血,疾病,清炒蘑菇,饮食
推荐饮食,鼻出血,疾病,番茄牛肉汤,饮食
推荐饮食,鼻出血,疾病,番茄牛茸羹,饮食
推荐饮食,鼻出血,疾病,火腿冬笋鳝鱼汤,饮食
推荐饮食,鼻出血,疾病,归参鳝鱼羹,饮食
推荐饮食,鼻出血,疾病,山药薏米红枣粥,饮食
推荐饮食,鼻出血,疾病,薏米莲子粥,饮食
治疗药物,鼻出血,疾病,三七胶囊,药品
治疗药物,鼻出血,疾病,伤科接骨片,药品
临床症状,常年性鼻炎,疾病,占思乔,症状
临床症状,常年性鼻炎,疾病,息肉,症状
临床症状,常年性鼻炎,疾病,鼻孔干疼,症状
临床症状,常年性鼻炎,疾病,闫会星,症状
临床症状,常年性鼻炎,疾病,听力减退,症状
临床症状,常年性鼻炎,疾病,侧卧时位于下侧...,症状
临床症状,常年性鼻炎,疾病,鼻塞,症状
临床症状,常年性鼻炎,疾病,回吸性涕血,症状
临床症状,常年性鼻炎,疾病,鼻分泌物增多,症状
治疗操作,常年性鼻炎,疾病,药物治疗,操作
治疗操作,常年性鼻炎,疾病,康复治疗,操作
相关人群,常年性鼻炎,疾病,无特定人群,人群
治疗药物,常年性鼻炎,疾病,盐酸羟甲唑啉喷雾剂,药品
治疗药物,常年性鼻炎,疾病,鼻炎宁颗粒,药品
诊断检查,常年性鼻炎,疾病,耳鼻咽喉CT检查,观测操作
诊断检查,常年性鼻炎,疾病,鼻部功能检查,观测操作
诊断检查,常年性鼻炎,疾病,前鼻镜检查,观测操作
推荐饮食,常年性鼻炎,疾病,鸭肝,饮食
推荐饮食,常年性鼻炎,疾病,芝麻,饮食
推荐饮食,常年性鼻炎,疾病,腰果,饮食
推荐饮食,常年性鼻炎,疾病,松子仁,饮食
禁忌饮食,常年性鼻炎,疾病,啤酒,饮食
禁忌饮食,常年性鼻炎,疾病,白酒,饮食
禁忌饮食,常年性鼻炎,疾病,白扁豆,饮食
禁忌饮食,常年性鼻炎,疾病,鱼肉,饮食
推荐饮食,常年性鼻炎,疾病,野菊花炒肉片,饮食
推荐饮食,常年性鼻炎,疾病,蒜茸野菊花,饮食
推荐饮食,常年性鼻炎,疾病,野菊炒肉片,饮食
推荐饮食,常年性鼻炎,疾病,凉拌野菊花,饮食
推荐饮食,常年性鼻炎,疾病,香菇豆苗萝卜汤,饮食
推荐饮食,常年性鼻炎,疾病,萝卜豆腐汤,饮食
推荐饮食,常年性鼻炎,疾病,山药萝卜粥,饮食
推荐饮食,常年性鼻炎,疾病,紫菜萝卜汤,饮食
治疗药物,常年性鼻炎,疾病,通窍鼻炎片,药品
治疗药物,常年性鼻炎,疾病,盐酸萘甲唑啉滴鼻液,药品
治疗药物,常年性鼻炎,疾病,滴通鼻炎水,药品
治疗药物,常年性鼻炎,疾病,鼻通丸,药品
治疗药物,常年性鼻炎,疾病,鼻舒适片,药品
治疗药物,常年性鼻炎,疾病,辛芳鼻炎胶囊,药品
治疗药物,常年性鼻炎,疾病,小儿鼻炎片,药品
治疗药物,常年性鼻炎,疾病,盐酸赛洛唑啉鼻用喷雾剂,药品
治疗药物,常年性鼻炎,疾病,鼻渊片,药品
治疗药物,常年性鼻炎,疾病,千柏鼻炎片,药品
治疗药物,常年性鼻炎,疾病,苍夷滴鼻剂,药品
治疗药物,常年性鼻炎,疾病,胆香鼻炎片,药品
临床症状,脑脊液鼻漏,疾病,鼻溢液,症状
临床症状,脑脊液鼻漏,疾病,口鼻血性分泌物,症状
治疗操作,脑脊液鼻漏,疾病,非手术治疗,操作
治疗操作,脑脊液鼻漏,疾病,手术治疗,操作
相关人群,脑脊液鼻漏,疾病,无特发人群,人群
诊断检查,脑脊液鼻漏,疾病,颅脑CT检查,观测操作
诊断检查,脑脊液鼻漏,疾病,鼻咽部MRI检查,观测操作
诊断检查,脑脊液鼻漏,疾病,耳鼻咽喉CT检查,观测操作
诊断检查,脑脊液鼻漏,疾病,颅脑MRI检查,观测操作
临床症状,鼻骨骨折,疾病,鼻小柱缺损,症状
临床症状,鼻骨骨折,疾病,鼻端缺损,症状
临床症状,鼻骨骨折,疾病,鼻裂,症状
临床症状,鼻骨骨折,疾病,歪鼻,症状
临床症状,鼻骨骨折,疾病,脑脊液鼻漏,症状
临床症状,鼻骨骨折,疾病,鼻孔外露,症状
临床症状,鼻骨骨折,疾病,鼻端形态不佳,症状
临床症状,鼻骨骨折,疾病,鼻中隔或鼻腔内...,症状
临床症状,鼻骨骨折,疾病,鼻翼上方缺损,症状
临床症状,鼻骨骨折,疾病,鼻出血,症状
治疗操作,鼻骨骨折,疾病,支持性治疗,操作
治疗操作,鼻骨骨折,疾病,康复治疗,操作
治疗操作,鼻骨骨折,疾病,药物治疗,操作
相关人群,鼻骨骨折,疾病,无特定的人群,人群
治疗药物,鼻骨骨折,疾病,舒筋活血片,药品
治疗药物,鼻骨骨折,疾病,骨肽片,药品
诊断检查,鼻骨骨折,疾病,鼻部检查,观测操作
